Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
United States,27720700000000,Trillion,0.029,343477335,80706,0.26
China,17794800000000,Trillion,0.052,1422584933,12509,0.17
Germany,4525700000000,Trillion,-0.003,84548231,53528,0.04
Japan,4204490000000,Trillion,0.017,124370947,33806,0.04
India,3567550000000,Trillion,0.082,1438069596,2481,0.03
United Kingdom,3380850000000,Trillion,0.003,68682962,49224,0.03
France,3051830000000,Trillion,0.009,66438822,45934,0.03
Italy,2300940000000,Trillion,0.007,59499453,38672,0.02
Brazil,2173670000000,Trillion,0.029,211140729,10295,0.02
Canada,2142470000000,Trillion,0.013,39299105,54517,0.02
Russia,2021420000000,Trillion,0.036,145440500,13899,0.02
Mexico,1789110000000,Trillion,0.032,129739759,13790,0.02
Australia,1728060000000,Trillion,0.034,26451124,65330,0.02
South Korea,1712790000000,Trillion,0.014,51748739,33098,0.02
Spain,1620090000000,Trillion,0.027,47911579,33814,0.02
Indonesia,1371170000000,Trillion,0.05,281190067,4876,0.01
Netherlands,1154360000000,Trillion,0.001,18092524,63803,0.01
Turkey,1118250000000,Trillion,0.051,87270501,12814,0.01
Saudi Arabia,1067580000000,Trillion,-0.008,33264292,32094,0.01
Switzerland,884940000000,Billion,0.007,8870561,99761,0.01
Poland,809201000000,Billion,0.001,38762844,20876,0.01
Argentina,646075000000,Billion,-0.016,45538401,14187,0.01
Belgium,644783000000,Billion,0.013,11712893,55049,0.01
Sweden,584960000000,Billion,-0.003,10551494,55439,0.01
Ireland,551395000000,Billion,-0.055,5196630,106106,0.01
Thailand,514969000000,Billion,0.019,71702435,7182,0.0
United Arab Emirates,514130000000,Billion,0.036,10642081,48311,0.0
Israel,513611000000,Billion,0.024,9256314,55488,0.0
Austria,511685000000,Billion,-0.009,9130429,56042,0.0
Singapore,501428000000,Billion,0.011,5789090,86616,0.0
Norway,485311000000,Billion,0.005,5519167,87932,0.0
Bangladesh,437415000000,Billion,0.058,171466990,2551,0.0
Philippines,437146000000,Billion,0.056,114891199,3805,0.0
Vietnam,429717000000,Billion,0.05,100352192,4282,0.0
Denmark,407092000000,Billion,0.025,5948136,68440,0.0
Iran,404626000000,Billion,0.05,90608707,4466,0.0
Malaysia,399705000000,Billion,0.036,35126298,11379,0.0
Egypt,396002000000,Billion,0.038,114535772,3457,0.0
Hong Kong,380812000000,Billion,0.033,7442734,51166,0.0
South Africa,380699000000,Billion,0.007,63212384,6023,0.0
Nigeria,363846000000,Billion,0.029,227882945,1597,0.0
Colombia,363494000000,Billion,0.006,52321152,6947,0.0
Romania,350776000000,Billion,0.024,19118479,18347,0.0
Czech Republic (Czechia),343208000000,Billion,-0.001,10809716,31750,0.0
Pakistan,337912000000,Billion,-0.0,247504495,1365,0.0
Chile,335533000000,Billion,0.002,19658835,17068,0.0
Finland,295532000000,Billion,-0.012,5601185,52762,0.0
Portugal,289114000000,Billion,0.025,10430738,27718,0.0
Peru,267603000000,Billion,-0.006,33845617,7907,0.0
Kazakhstan,262642000000,Billion,0.051,20330104,12919,0.0
New Zealand,252176000000,Billion,0.007,5172836,48750,0.0
Iraq,250843000000,Billion,-0.029,45074049,5565,0.0
Algeria,247626000000,Billion,0.041,46164219,5364,0.0
Greece,243498000000,Billion,0.023,10242908,23772,0.0
Qatar,213003000000,Billion,0.012,2979082,71500,0.0
Hungary,212389000000,Billion,-0.009,9686463,21926,0.0
Ukraine,178757000000,Billion,0.053,37732836,4737,0.0
Kuwait,163705000000,Billion,-0.036,4838782,33832,0.0
Ethiopia,163698000000,Billion,0.065,128691692,1272,0.0
Morocco,144417000000,Billion,0.034,37712505,3829,0.0
Slovakia,132908000000,Billion,0.014,5518055,24086,0.0
Dominican Republic,121444000000,Billion,0.024,11331265,10718,0.0
